filename;Type;Strain;Rep;full_name;species
20220922_LFX_RH_079_RH110_P2_SPEMeOH_G07_1_pos.mzML;blank;1016;rep3;blank_1016_rep3;B. pseudocinerea(1016)
20220922_LFX_RH_021_RH110_P1_SPEMeOH_B09_1_pos.mzML;blank;1020;rep1;blank_1020_rep1;B. cinerea(1020)
20220922_LFX_RH_043_RH110_P1_SPEMeOH_D07_1_pos.mzML;blank;1020;rep2;blank_1020_rep2;B. cinerea(1020)
20220922_LFX_RH_074_RH110_P1_SPEMeOH_G02_1_pos.mzML;blank;1020;rep3;blank_1020_rep3;B. cinerea(1020)
20220922_LFX_RH_019_RH110_P1_SPEMeOH_B07_1_pos.mzML;blank;1227;rep1;blank_1227_rep1;B. pseudocinerea(1227)
20220922_LFX_RH_054_RH110_P1_SPEMeOH_E06_1_pos.mzML;blank;1227;rep2;blank_1227_rep2;B. pseudocinerea(1227)
20220922_LFX_RH_068_RH110_P1_SPEMeOH_F08_1_pos.mzML;blank;1227;rep3;blank_1227_rep3;B. pseudocinerea(1227)
20220922_LFX_RH_038_RH110_P2_SPEMeOH_D02_1_pos.mzML;blank;1228;rep1;blank_1228_rep1;B. aclada(1228)
20220922_LFX_RH_078_RH110_P2_SPEMeOH_G06_1_pos.mzML;blank;1228;rep2;blank_1228_rep2;B. aclada(1228)
20220922_LFX_RH_087_RH110_P2_SPEMeOH_H03_1_pos.mzML;blank;1228;rep3;blank_1228_rep3;B. aclada(1228)
20220922_LFX_RH_006_RH110_P2_SPEMeOH_A06_1_pos.mzML;blank;1230;rep1;blank_1230_rep1;B. pseudocinerea(1230)
20220922_LFX_RH_013_RH110_P2_SPEMeOH_B01_1_pos.mzML;blank;1230;rep2;blank_1230_rep2;B. pseudocinerea(1230)
20220922_LFX_RH_060_RH110_P2_SPEMeOH_E12_1_pos.mzML;blank;1230;rep3;blank_1230_rep3;B. pseudocinerea(1230)
20220922_LFX_RH_020_RH110_P2_SPEMeOH_B08_1_pos.mzML;blank;1233;rep1;blank_1233_rep1;B. pseudocinerea(1233)
20220922_LFX_RH_070_RH110_P2_SPEMeOH_F10_1_pos.mzML;blank;1233;rep2;blank_1233_rep2;B. pseudocinerea(1233)
20220922_LFX_RH_075_RH110_P2_SPEMeOH_G03_1_pos.mzML;blank;1233;rep3;blank_1233_rep3;B. pseudocinerea(1233)
20220922_LFX_RH_003_RH110_P1_SPEMeOH_A03_1_pos.mzML;blank;1235;rep1;blank_1235_rep1;B. pseudocinerea(1235)
20220922_LFX_RH_030_RH110_P1_SPEMeOH_C06_1_pos.mzML;blank;1235;rep2;blank_1235_rep2;B. pseudocinerea(1235)
20220922_LFX_RH_034_RH110_P1_SPEMeOH_C10_1_pos.mzML;blank;1235;rep3;blank_1235_rep3;B. pseudocinerea(1235)
20220922_LFX_RH_047_RH110_P1_SPEMeOH_D11_1_pos.mzML;blank;1238;rep1;blank_1238_rep1;B. pseudocinerea(1238)
20220922_LFX_RH_061_RH110_P1_SPEMeOH_F01_1_pos.mzML;blank;1238;rep2;blank_1238_rep2;B. pseudocinerea(1238)
20220922_LFX_RH_065_RH110_P1_SPEMeOH_F05_1_pos.mzML;blank;1238;rep3;blank_1238_rep3;B. pseudocinerea(1238)
20220922_LFX_RH_006_RH110_P1_SPEMeOH_A06_1_pos.mzML;blank;1239;rep1;blank_1239_rep1;B. pseudocinerea(1239)
20220922_LFX_RH_009_RH110_P1_SPEMeOH_A09_1_pos.mzML;blank;1239;rep2;blank_1239_rep2;B. pseudocinerea(1239)
20220922_LFX_RH_076_RH110_P1_SPEMeOH_G04_1_pos.mzML;blank;1239;rep3;blank_1239_rep3;B. pseudocinerea(1239)
20220922_LFX_RH_012_RH110_P1_SPEMeOH_A12_1_pos.mzML;blank;1244;rep1;blank_1244_rep1;B. pseudocinerea(1244)
20220922_LFX_RH_037_RH110_P1_SPEMeOH_D01_1_pos.mzML;blank;1244;rep2;blank_1244_rep2;B. pseudocinerea(1244)
20220922_LFX_RH_083_RH110_P1_SPEMeOH_G11_1_pos.mzML;blank;1244;rep3;blank_1244_rep3;B. pseudocinerea(1244)
20220922_LFX_RH_055_RH110_P2_SPEMeOH_E07_1_pos.mzML;blank;1255;rep1;blank_1255_rep1;B. pseudocinerea(1255)
